x	y	cell
2506868.2700	736031.5990	3958.0000
2506879.1500	736019.5370	3959.0000
2506890.6300	736007.2960	3960.0000
2506902.4800	735995.4260	3961.0000
2506914.4100	735983.4090	3962.0000
2506203.5500	736589.3600	4026.0000
2506231.8100	736592.7360	4031.0000
2506240.4600	736590.0730	4033.0000
2506246.2400	736592.0000	4034.0000
2506252.0200	736593.9270	4035.0000
2506424.9800	736565.0790	4068.0000
2506505.2000	736514.7640	4083.0000
2506512.6000	736515.5940	4084.0000
2506519.0800	736509.7900	4085.0000
2506526.5400	736510.4910	4086.0000
2506532.6700	736504.5310	4087.0000
2506535.5900	736498.3140	4088.0000
2506708.2700	736266.9410	4128.0000
2506744.1900	736187.0890	4135.0000
2506756.3400	736163.1490	4137.0000
2506763.0300	736151.1130	4138.0000
2506770.1400	736139.0400	4139.0000
2506777.6400	736126.9390	4140.0000
2506785.5300	736114.8160	4141.0000
2506793.8100	736102.6770	4142.0000
2506802.4600	736090.5280	4143.0000
2506811.4800	736078.3750	4144.0000
2506820.8700	736066.2200	4145.0000
2506830.6000	736054.0690	4146.0000
2506840.6700	736041.9210	4147.0000
2506851.0800	736029.7870	4148.0000
2506861.7300	736017.6410	4149.0000
2506872.8000	736005.4940	4150.0000
2506884.1600	735993.3510	4151.0000
2506895.8300	735981.2970	4152.0000
2506138.0200	736581.9920	4208.0000
2506373.0400	736568.8840	4252.0000
2506379.3700	736571.2160	4253.0000
2506389.0200	736568.3340	4255.0000
2506399.3900	736565.2750	4257.0000
2506430.8200	736553.0510	4262.0000
2506438.0800	736547.5060	4263.0000
2506458.4000	736533.2190	4267.0000
2506462.2600	736527.5760	4268.0000
2506490.5300	736512.9860	4273.0000
2506497.8400	736513.8950	4274.0000
2506504.3200	736508.2300	4275.0000
2506511.6800	736509.0330	4276.0000
2506517.8200	736503.2380	4277.0000
2506525.2200	736503.9180	4278.0000
2506528.1800	736497.7610	4279.0000
2506698.7800	736258.8750	4320.0000
2506744.4100	736160.6220	4329.0000
2506750.7600	736148.6030	4330.0000
2506757.5100	736136.5420	4331.0000
2506764.6600	736124.4450	4332.0000
2506772.1900	736112.3190	4333.0000
2506780.1000	736100.1700	4334.0000
2506788.3800	736088.0060	4335.0000
2506797.0300	736075.8300	4336.0000
2506806.0400	736063.6490	4337.0000
2506815.4000	736051.4640	4338.0000
2506825.1100	736039.2800	4339.0000
2506835.1400	736027.1000	4340.0000
2506856.1800	736002.7530	4342.0000
2506867.1600	735990.5990	4343.0000
2506878.4700	735978.4850	4344.0000
2506134.8200	736574.5840	4402.0000
2506146.7000	736573.5860	4404.0000
2506158.5700	736578.3630	4406.0000
2506176.1100	736571.9090	4410.0000
2506181.9800	736573.2860	4411.0000
2506201.6500	736572.4100	4415.0000
2506366.7600	736566.4950	4446.0000
2506404.6400	736560.4850	4453.0000
2506410.4200	736555.6710	4454.0000
2506416.6300	736549.1460	4455.0000
